# From NMAP.org

@{Code=000000; Vendor=Xerox}
@{Code=000001; Vendor=Xerox}
@{Code=000002; Vendor=Xerox}
@{Code=000003; Vendor=Xerox}
@{Code=000004; Vendor=Xerox}
@{Code=000005; Vendor=Xerox}
@{Code=000006; Vendor=Xerox}
@{Code=000007; Vendor=Xerox}
@{Code=000008; Vendor=Xerox}
@{Code=000009; Vendor=Xerox}
@{Code=00000A; Vendor=Omron Tateisi}
@{Code=00000B; Vendor=Matrix}
@{Code=00000C; Vendor=Cisco}
@{Code=00000D; Vendor=Fibronics}
@{Code=00000E; Vendor=Fujitsu}
@{Code=00000F; Vendor=Next}
@{Code=000010; Vendor=Sytek}
@{Code=000011; Vendor=Normerel Systemes}
@{Code=000012; Vendor=Information}
@{Code=000013; Vendor=Camex}
@{Code=000014; Vendor=Netronix}
@{Code=000015; Vendor=Datapoint}
@{Code=000016; Vendor=Du Pont Pixel}
@{Code=000017; Vendor=Oracle}
@{Code=000018; Vendor=Webster}
@{Code=000019; Vendor=Applied Dynamics}
@{Code=00001A; Vendor=AMD}
@{Code=00001B; Vendor=Novell}
@{Code=00001C; Vendor=Bell}
@{Code=00001D; Vendor=Cabletron}
@{Code=00001E; Vendor=Telsist}
@{Code=00001F; Vendor=Telco}
@{Code=000020; Vendor=Dataindustrier Diab}
@{Code=000021; Vendor=Sureman}
@{Code=000022; Vendor=Visual}
@{Code=000023; Vendor=ABB}
@{Code=000024; Vendor=Connect}
@{Code=000025; Vendor=Ramtek}
@{Code=000026; Vendor=SHA-KEN}
@{Code=000027; Vendor=Japan Radio}
@{Code=000028; Vendor=Prodigy}
@{Code=000029; Vendor=IMC}
@{Code=00002A; Vendor=TRW - Sedd/INP}
@{Code=00002B; Vendor=Crisp Automation}
@{Code=00002C; Vendor=Autotote}
@{Code=00002D; Vendor=Chromatics}
@{Code=00002E; Vendor=Societe Evira}
@{Code=00002F; Vendor=Timeplex}
@{Code=000030; Vendor=VG Laboratory}
@{Code=000031; Vendor=Qpsx}
@{Code=000032; Vendor=Marconi}
@{Code=000033; Vendor=Egan Machinery}
@{Code=000034; Vendor=Network Resources}
@{Code=000035; Vendor=Spectragraphics}
@{Code=000036; Vendor=Atari}
@{Code=000037; Vendor=Oxford Metrics}
@{Code=000038; Vendor=CSS}
@{Code=000039; Vendor=Toshiba}
@{Code=00003A; Vendor=Chyron}
@{Code=00003B; Vendor=i Controls}
@{Code=00003C; Vendor=Auspex}
@{Code=00003D; Vendor=Unisys}
@{Code=00003E; Vendor=Simpact}
@{Code=00003F; Vendor=Syntrex}
@{Code=000040; Vendor=Applicon}
@{Code=000041; Vendor=ICE}
@{Code=000042; Vendor=Metier Management}
@{Code=000043; Vendor=Micro}
@{Code=000044; Vendor=Castelle}
@{Code=000045; Vendor=Ford Aerospace}
@{Code=000046; Vendor=Olivetti}
@{Code=000047; Vendor=Nicolet Instruments}
@{Code=000048; Vendor=Epson}
@{Code=000049; Vendor=Apricot}
@{Code=00004A; Vendor=ADC Codenoll}
@{Code=00004B; Vendor=ICL Data}
@{Code=00004C; Vendor=NEC}
@{Code=00004D; Vendor=DCI}
@{Code=00004E; Vendor=Ampex}
@{Code=00004F; Vendor=Logicraft}
@{Code=000050; Vendor=Radisys}
@{Code=000051; Vendor=HOB}
@{Code=000052; Vendor=Intrusion.com}
@{Code=000053; Vendor=Compucorp}
@{Code=000054; Vendor=Schneider}
@{Code=000055; Vendor=Commissariat A L`Energie Atom}
@{Code=000056; Vendor=DR. B. Struck}
@{Code=000057; Vendor=Scitex}
@{Code=000058; Vendor=Racore}
@{Code=000059; Vendor=Hellige}
@{Code=00005A; Vendor=SysKonnect}
@{Code=00005B; Vendor=Eltec Elektronik}
@{Code=00005C; Vendor=Telematics}
@{Code=00005D; Vendor=CS Telecom}
@{Code=00005E; Vendor=ICANN}
@{Code=00005F; Vendor=Sumitomo Electric}
@{Code=000060; Vendor=Kontron Elektronik}
@{Code=000061; Vendor=Gateway}
@{Code=000062; Vendor=Bull HN Information}
@{Code=000063; Vendor=Barco Control Rooms}
@{Code=000064; Vendor=Yokogawa Digital}
@{Code=000065; Vendor=Network General}
@{Code=000066; Vendor=Talaris}
@{Code=000067; Vendor=Soft * Rite}
@{Code=000068; Vendor=Rosemount Controls}
@{Code=000069; Vendor=Concord}
@{Code=00006A; Vendor=Computer Consoles}
@{Code=00006B; Vendor=Silicon Graphics}
@{Code=00006C; Vendor=Private}
@{Code=00006D; Vendor=Cray}
@{Code=00006E; Vendor=Artisoft}
@{Code=00006F; Vendor=Madge}
@{Code=000070; Vendor=HCL}
@{Code=000071; Vendor=Adra}
@{Code=000072; Vendor=Miniware}
@{Code=000073; Vendor=Siecor}
@{Code=000074; Vendor=Ricoh}
@{Code=000075; Vendor=Nortel}
@{Code=000076; Vendor=Abekas Video System}
@{Code=000077; Vendor=Interphase}
@{Code=000078; Vendor=Labtam}
@{Code=000079; Vendor=Networth}
@{Code=00007A; Vendor=Dana}
@{Code=00007B; Vendor=Research Machines}
@{Code=00007C; Vendor=Ampere}
@{Code=00007D; Vendor=Oracle}
@{Code=00007E; Vendor=Clustrix}
@{Code=00007F; Vendor=Linotype-Hell}
@{Code=000080; Vendor=Cray}
@{Code=000081; Vendor=Bay}
@{Code=000082; Vendor=Lectra Systemes}
@{Code=000083; Vendor=Tadpole}
@{Code=000084; Vendor=Supernet}
@{Code=000085; Vendor=Canon}
@{Code=000086; Vendor=Megahertz}
@{Code=000087; Vendor=Hitachi}
@{Code=000088; Vendor=Brocade}
@{Code=000089; Vendor=Cayman}
@{Code=00008A; Vendor=Datahouse Information}
@{Code=00008B; Vendor=Infotron}
@{Code=00008C; Vendor=Alloy}
@{Code=00008D; Vendor=Cryptek}
@{Code=00008E; Vendor=Solbourne}
@{Code=00008F; Vendor=Raytheon}
@{Code=000090; Vendor=Microcom}
@{Code=000091; Vendor=Anritsu}
@{Code=000092; Vendor=Cogent Data}
@{Code=000093; Vendor=Proteon}
@{Code=000094; Vendor=Asante}
@{Code=000095; Vendor=Sony}
@{Code=000096; Vendor=Marconi}
@{Code=000097; Vendor=Dell}
@{Code=000098; Vendor=Crosscomm}
@{Code=000099; Vendor=MTX}
@{Code=00009A; Vendor=RC}
@{Code=00009B; Vendor=Information}
@{Code=00009C; Vendor=Rolm MIL-Spec}
@{Code=00009D; Vendor=Locus Computing}
@{Code=00009E; Vendor=Marli S.A}
@{Code=00009F; Vendor=Ameristar}
@{Code=0000A0; Vendor=SANYO Electric}
@{Code=0000A1; Vendor=Marquette Electric}
@{Code=0000A2; Vendor=Bay}
@{Code=0000A3; Vendor=Network Application}
@{Code=0000A4; Vendor=Acorn}
@{Code=0000A5; Vendor=Tattile SRL}
@{Code=0000A6; Vendor=Network General}
@{Code=0000A7; Vendor=Network Computing Devices}
@{Code=0000A8; Vendor=Stratus}
@{Code=0000A9; Vendor=Network}
@{Code=0000AA; Vendor=Xerox}
@{Code=0000AB; Vendor=Logic Modeling}
